sub-tool?,,,,,,
pkgname,,,,,toolname,prettyname
,,"all: sh -c ""*"", -1: ls -l, 1: toolname, 2: toolname -h, 3: toolname --help",,,,
desktop file,package,desktop file,,,menu name,pkgbuild desc
toolname,pkgname,exec,term,cat,prettyname,description
jcopsetatrhist,rfidiot,./jcopsetatrhist.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,JCOP Set ATR Historical Bytes,ACG
jcopsetatrhist,rfidiot,./jcopsetatrhist.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,JCOP Set ATR Historical Bytes,PCSC
jcoptool,rfidiot,./jcoptool.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600 INFO,1,bt4,JCOP Info,ACG
jcoptool,rfidiot,./jcoptool.py -R RFIDIOt.rfidiot.READER_PCSC INFO,1,bt4,JCOP Info,PCSC
lfxtype,rfidiot,./lfxtype.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Identify LF TAG Type,ACG
loginall,rfidiot,./loginall.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,LoginAll MIFARE,ACG
loginall,rfidiot,./loginall.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Bruteforce MIFARE,PCSC
mifarekeys,rfidiot,./mifarekeys.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Calculate JCOP MIFARE Keys,ACG
mifarekeys,rfidiot,./mifarekeys.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Calculate JCOP MIFARE Keys,PCSC
mrpkey,rfidiot,./mrpkey.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,EPassport READ WRITE CLONE,ACG
mrpkey,rfidiot,./mrpkey.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,EPassport READ/WRITE/CLONE,PCSC
multiselect,rfidiot,./multiselect.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Continuous Select TAG,ACG
multiselect,rfidiot,./multiselect.py -R RFIDIOt.rfidiot.READER_PCSC,1,bt4,Continuous Select TAG,PCSC
q5reset,rfidiot,./q5reset.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600 CONTROL ID,1,bt4,Reset Q5 TAG,ACG
readlfx,rfidiot,./readlfx.py -R RFIDIOt.rfidiot.READER_ACG -l /dev/ttyUSB0 -s 9600,1,bt4,Read LF TAG,ACG
